Temperatura;Velocidad;Tension;Defectuosos
20;37.79;84.9;25.08
26;28.37;109.8;24.13
34;58.59;111.1;40.47
14;16.05;102.2;12.75
21;12.34;116.5;14.73
21;53.32;115.4;32.3
24;58.39;95.3;36.67
21;31.45;114.1;19.07
26;55.45;83.3;34.21
15;55.01;111.9;25.87
19;13.51;91.6;16.39
21;25.87;110.7;17.55
20;21.84;94.8;20.52
21;19.89;99.2;17.23
20;37.75;105.8;21.79
15;13.43;99.4;11.51
16;27.65;112.3;16.71
17;48.99;99.1;26.63
19;54.68;90.8;28.04
25;18.33;101;15.54
19;40.47;121.1;25.4
13;44.05;98.8;19.87
15;20.6;85.8;17.47
18;12.35;96;14.75
17;48.03;111.1;25.78
